질의,포함핵심어,포함개수
오죽헌 근처에 시설 전체가 지상층에 위치하고 엘리베이터로 이동 가능한 숙소 있나요?,"오죽헌, 엘리베이터로 이동 가능, 시설 전체가 지상층에 위치",3
경포호나 정동진 근처에 공용 공간에서 흡연이 금지된 숙소가 있나요?,"경포호, 정동진, 공용 공간에서 흡연 금지",3
"주문진, 강릉, 대포항 중 어느 지역에 숙소를 잡는 게 좋을까요?","주문진, 강릉, 대포항",3
엘리베이터가 있는 숙소를 어떻게 찾을 수 있을까요?,엘리베이터,1
강릉역 근처에 엘리베이터로 이동 가능한 숙소 있나요?,"강릉역, 엘리베이터로 이동 가능",2
강릉이나 양양에서 국제공항과 가까운 숙소가 있나요?,"강릉, 국제공항, 양양",3
주문진에 장애인 편의시설을 갖춘 숙소가 있나요?,"주문진, 장애인 편의시설",2
경포대 근처에 고령자나 장애인을 위한 숙소가 있나요?,경포대,1
강릉에 계단으로 위층 이동이 가능한 숙소가 있나요?,"강릉, 계단으로 위층 이동 가능",2
시설 전체가 지상층에 위치한 숙소가 있나요?,시설 전체가 지상층에 위치,1
강릉역이나 오죽헌 근처에 금연 객실이 있는 숙소가 있나요?,"강릉역, 오죽헌, 금연",3
경포대나 강릉 주변에 위치한 숙소 추천해 주실 수 있나요?,"경포대, 강릉",2
엘리베이터로 위층 이동이 가능한 숙소가 있나요?,엘리베이터로 위층 이동 가능,1
정동진 근처에 계단 없는 주 출입구가 있는 숙소가 있나요?,"정동진, 계단 없는 주 출입구",2
오죽헌이나 경포대 근처에 키 낮은 개수대가 있는 숙소가 있을까요?,"오죽헌, 경포대, 키 낮은 개수대",3
경포해수욕장 주변에 숙소가 많나요?,경포해수욕장,1
강릉 경포대 근처에 장애인 지원 객실이 있는 숙소가 있나요?,"강릉, 경포대, 장애인 지원 객실",3
사천항 근처에 휠체어 이용 가능하고 서비스 로봇이 있는 숙소가 있나요?,"사천항, 휠체어 이용 가능, 서비스 로봇",3
경포호나 강릉역 근처에 점자 안내판이 있는 숙소가 있나요?,"경포호, 강릉역, 점자 안내판",3
정동진 근처에서 정동진역이나 레일바이크에 쉽게 접근할 수 있는 숙소가 있나요?,"정동진, 정동진역, 레일바이크",3
강릉역이나 오죽헌 근처에 장애인 지원 객실을 제공하는 숙소가 있나요?,"강릉역, 오죽헌, 장애인 지원 객실",3
"경포대, 정동진, 주문진 중에서 고령자에게 적합한 숙소는 어디에 있나요?","경포대, 정동진, 주문진",3
장애인 지원 객실이 있는 숙소가 있나요?,장애인 지원 객실,1
강릉에 점자 안내판이 있는 숙소가 있나요?,"강릉, 점자 안내판",2
오죽헌 주변에 솜 베개가 제공되고 엘리베이터가 있는 숙소가 있나요?,"오죽헌, 솜 베개, 엘리베이터",3
주문진 근처에 고령자와 장애인에게 적합한 숙소가 있나요?,주문진,1
경포대 근처에서 엘리베이터로 위층 이동 가능한 숙소가 있나요?,"경포대, 엘리베이터로 위층 이동 가능",2
경포호나 정동진 근처에 엘리베이터가 있는 숙소를 추천해 주실 수 있나요?,"경포호, 정동진, 엘리베이터",3
강릉역이나 오죽헌 근처에 시설 전체가 지상층에 위치한 숙소가 있나요?,"강릉역, 오죽헌, 시설 전체가 지상층에 위치",3
오죽헌 근처에 장애인 편의시설이 잘 갖춰진 숙소가 있나요?,"오죽헌, 장애인 편의시설",2
정동진 근처에 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"정동진, 엘리베이터",2
주문진이나 대관령 근처에 고령자에게 적합한 숙소가 있나요?,"주문진, 대관령",2
경포대 주변에 시설 전체가 지상층에 위치한 숙소가 있나요?,"경포대, 시설 전체가 지상층에 위치",2
강릉역이나 오죽헌 근처에 엘리베이터가 있는 숙소가 있나요?,"강릉역, 오죽헌, 엘리베이터",3
강릉역이나 중앙시장 근처에 장애인 화장실이 있는 숙소가 있나요?,"강릉역, 중앙시장, 장애인 화장실",3
항알러지 침구를 제공하는 숙소가 있나요?,항알러지,1
사천항이나 경포대 근처에 있는 숙소 추천해 주실 수 있나요?,"사천항, 경포대",2
오죽헌 주변에 엘리베이터로 이동 가능한 숙소가 있나요?,"오죽헌, 엘리베이터로 이동 가능",2
강릉역에서 가까운 숙소가 강릉 시내에 있나요?,"강릉, 강릉역",2
남대천과 강릉 중심부 사이에 위치한 편안한 숙소를 추천해 주실 수 있나요?,"강릉, 남대천",2
금진항 근처에 시설 전체가 휠체어로 이용 가능한 숙소가 있나요?,"금진항, 시설 전체 휠체어 이용 가능",2
가족용 객실이 있는 숙소를 추천해 주실 수 있나요?,가족용 객실,1
오죽헌이나 주문진 주변에 엘리베이터가 있는 숙소가 있나요?,"오죽헌, 주문진, 엘리베이터",3
강릉역 근처에서 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"강릉역, 엘리베이터로 위층 이동 가능",2
강릉역이나 강릉 시내에서 엘리베이터로 위층 이동 가능한 숙소를 찾을 수 있을까요?,"강릉역, 강릉, 엘리베이터로 위층 이동 가능",3
강릉역 근처에 엘리베이터로 위층 이동이 가능하고 금연인 숙소가 있나요?,"강릉역, 엘리베이터로 위층 이동 가능, 금연",3
오죽헌 근처에 솜 베개가 제공되는 숙소가 있나요?,"오죽헌, 솜 베개",2
"정동진에서 레일바이크를 즐기고 난 후, 솜 베개가 제공되는 숙소를 찾을 수 있을까요?","정동진, 레일바이크, 솜 베개",3
강릉에 계단과 엘리베이터 모두 이용 가능한 숙소가 있나요?,"강릉, 계단으로 위층 이동 가능, 엘리베이터로 위층 이동 가능",3
강릉역이나 강릉 근처에 엘리베이터로 이동 가능한 숙소가 있나요?,"강릉역, 강릉, 엘리베이터로 이동 가능",3
강릉에 장애인 지원 객실과 점자 안내판이 있는 숙소가 있나요?,"강릉, 장애인 지원 객실, 점자 안내판",3
점자 안내판이 마련된 숙소가 있나요?,점자 안내판,1
강릉역 근처에 엘리베이터와 전용 출입구가 있는 숙소가 있나요?,"강릉역, 엘리베이터, 전용 출입구",3
경포호나 강릉역 근처에 계단 없는 주 출입구가 있는 숙소가 있나요?,"경포호, 강릉역, 계단 없는 주 출입구",3
금진항이나 강릉역 근처에 엘리베이터 있는 숙소가 있나요?,"금진항, 강릉역, 엘리베이터",3
강릉에 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"강릉, 엘리베이터로 위층 이동 가능",2
오죽헌이나 주문진 근처에 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?,"오죽헌, 주문진, 장애인 편의시설",3
경포대나 정동진 근처에 엘리베이터로 위층 이동이 가능한 숙소 있나요?,"경포대, 정동진, 엘리베이터로 위층 이동 가능",3
정동진 근처에 금연 가능한 숙소가 있나요?,"정동진, 금연",2
경포호 근처에 엘리베이터가 있고 공용 공간에서 흡연이 금지된 숙소가 있나요?,"경포호, 엘리베이터, 공용 공간에서 흡연 금지",3
강릉에서 국제공항까지 편리하게 이동할 수 있는 숙소가 있나요?,"강릉, 국제공항",2
주문진이나 오죽헌 근처에 고령자나 장애인을 위한 숙소가 있나요?,"주문진, 오죽헌",2
사천항 주변에 점자 안내판이 있는 숙소가 있나요?,"사천항, 점자 안내판",2
강릉 오죽헌 주변에 금연 가능한 숙소가 있나요?,"강릉, 오죽헌, 금연",3
오죽헌 주변에서 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"오죽헌, 엘리베이터로 위층 이동 가능",2
주문진 근처에 장애인 편의시설이 잘 갖춰진 숙소가 있나요?,"주문진, 국제공항, 장애인 편의시설",3
정동진에서 레일바이크를 타고 즐길 수 있는 금연 숙소가 있나요?,"정동진, 레일바이크, 금연",3
강릉역 근처에 계단 없는 주 출입구가 있는 숙소가 있나요?,"강릉역, 계단 없는 주 출입구",2
정동진 근처에 장애인 편의시설이 잘 갖춰진 숙소가 있나요?,"정동진, 장애인 편의시설",2
사천항 근처에 고령자나 장애인을 위한 편리한 숙소가 있나요?,사천항,1
강릉역 주변에 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?,"강릉역, 장애인 편의시설",2
