질의,포함핵심어,포함개수
대중교통을 쉽게 이용할 수 있는 숙소가 있나요?,대중교통 이용 가능,1
강원 춘천시의 청평사 근처에 위치한 숙소들이 어떤가요?,"강원, 청평사, 춘천시",3
퇴계동에 휠체어 접근로가 있는 숙소가 있나요?,"퇴계동, 휠체어 접근로 있음",2
엘리베이터가 있는 숙소를 추천해 주실 수 있나요?,엘리베이터 있음.,1
"춘천이나 명동, 강촌 지역에 고령자에게 적합한 숙소가 있나요?","춘천, 명동, 강촌",3
춘천역 근처에 위치한 숙소 중에서 레고랜드 방문에 편리한 곳이 있나요?,"레고랜드, 춘천역, 춘천",3
강촌이나 강촌역 주변에 장애인 주차장 3대가 있는 숙소가 있나요?,"강촌역, 강촌, 장애인 주차장 있음(3대)",3
계단에 난간이 있는 숙소가 있나요?,계단 난간,1
철원읍이나 한탄강 근처에 있는 숙소를 추천해 주실 수 있나요?,"철원읍, 한탄강",2
남춘천역 근처에 경사로와 점자블록이 있는 숙소가 있나요?,"남춘천역, 경사로 있음, 점자블록 있음",3
춘천에서 욕실이 있는 숙소를 추천해 주실 수 있나요?,"춘천, 욕실 있음",2
남춘천역 주변에 점자블록과 장애인 주차구역이 있는 숙소가 있나요?,"남춘천역, 점자블록 있음, 장애인 주차구역 있음",3
퇴계동이나 공지천 근처에 장애인 주차구역이 있는 숙소가 있을까요?,"퇴계동, 공지천, 장애인 주차구역 있음",3
춘천에 장애인 객실이 있는 숙소가 있나요?,"춘천, 장애인 객실 있음",2
남이섬과 강원 지역에서 고령자에게 적합한 숙소가 어디에 있나요?,"남이섬, 강원",2
강촌 주변에 고령자에게 적합한 숙소가 있나요?,강촌,1
남춘천역 근처에 경사로가 있고 출입구까지 턱이 없이 접근 가능한 숙소가 있나요?,"남춘천역, 경사로 있음, 출입구까지 턱이 없이 접근 가능",3
춘천시에서 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"춘천, 춘천시, 엘리베이터 있음",3
춘천 봉의동 근처에 위치한 편리한 숙소가 있나요?,"춘천, 봉의동",2
의암호 근처에 위치한 춘천의 숙소 추천해 주실 수 있나요?,"의암호, 춘천",2
춘천에 엘리베이터와 장애인 객실이 있는 숙소가 있나요?,"춘천, 엘리베이터 있음, 장애인 객실 있음",3
퇴계동에 장애인 주차구역이 있고 대중교통 이용이 가능한 숙소가 있을까요?,"퇴계동, 장애인 주차구역 있음, 대중교통 이용 가능",3
춘천이나 의암호 근처에 안내요원이 있는 숙소가 있나요?,"춘천, 의암호, 안내요원 있음",3
점자블록이 있는 숙소를 어떻게 찾을 수 있을까요?,점자블록 있음,1
남이섬이나 춘천 근처에 고령자에게 적합한 숙소가 있을까요?,"남이섬, 춘천",2
"춘천, 강원도에 위치한 숙소는 어떤 것들이 있나요?","춘천, 강원도",2
남춘천역 근처에 경사로가 있는 숙소가 있나요?,"남춘천역, 경사로 있음",2
레고랜드 근처에 있는 숙소는 어떤 곳들이 있나요?,레고랜드,1
하중도 근처에 계단 없는 주 출입구와 휠체어 이용이 가능한 숙소가 있나요?,"하중도, 계단 없는 주 출입구, 휠체어 이용 가능",3
강원 지역에서 청평사와 가까운 숙소를 추천해 주실 수 있나요?,"강원, 청평사",2
춘천역이나 레고랜드 근처에 위치한 숙소를 추천해 주실 수 있나요?,"레고랜드, 춘천역",2
남춘천역 근처에 출입구까지 경사로가 설치되어 있고 턱 없이 접근 가능한 숙소가 있나요?,"남춘천역, 출입구까지 경사로 설치, 출입구까지 턱이 없이 접근 가능",3
춘천에 출입구까지 경사로가 설치되어 있고 점자블록이 있는 숙소가 있나요?,"춘천, 출입구까지 경사로 설치, 점자블록 있음",3
장애인 주차장이 3대나 있는 숙소가 어디 있을까요?,장애인 주차장 있음(3대),1
춘천에 출입구까지 경사로가 설치된 숙소가 있을까요?,"춘천, 출입구까지 경사로 설치",2
장애인 지원 객실이 있는 숙소를 어떻게 찾을 수 있을까요?,장애인 지원 객실,1
춘천에 장애인 전용 주차구역과 엘리베이터가 있는 숙소가 있나요?,"춘천, 장애인 전용 주차구역 있음, 엘리베이터 있음",3
남춘천역이나 레고랜드 근처에 휠체어 접근로가 있는 숙소가 있나요?,"남춘천역, 레고랜드, 휠체어 접근로 있음",3
남춘천역 근처에 점자홍보물이 있는 숙소가 있나요?,"남춘천역, 점자홍보물 있음",2
춘천에서 지하주차장에서 엘리베이터를 이용할 수 있는 숙소가 있을까요?,"춘천, 지하주차장에서 엘리베이터 이용 가능",2
강촌역 근처에 엘리베이터와 음성안내기가 있는 숙소가 있을까요?,"강촌역, 엘리베이터 있음, 음성안내기 있음",3
남춘천역 근처에 보조견 동반이 가능하고 지체장애인을 위한 홍보물이 있는 숙소가 있나요?,"남춘천역, 보조견 동반 가능, 지체장애인을 위한 홍보물 있음",3
강촌역 근처에 엘리베이터 있는 숙소 있나요?,"강촌역, 엘리베이터 있음",2
남춘천역 근처에 출입구까지 턱이 없이 접근 가능한 숙소가 있나요?,"남춘천역, 출입구까지 턱이 없이 접근 가능",2
춘천에 점자블록과 장애인 주차구역이 있는 숙소가 있나요?,"춘천, 점자블록 있음, 장애인 주차구역 있음",3
강촌역 근처에 출입구까지 경사로가 설치되어 있고 엘리베이터도 있는 숙소가 있나요?,"강촌역, 출입구까지 경사로가 설치되어 있음, 엘리베이터 있음",3
출입구까지 경사로가 설치된 숙소가 어디 있나요?,출입구까지 경사로가 설치되어 있음,1
춘천 지역에 경사로가 있는 숙소를 추천해 주실 수 있나요?,"춘천, 경사로 있음",2
춘천이나 강원 지역에서 남이섬과 가까운 숙소가 어디에 있나요?,"남이섬, 강원, 춘천",3
공지천이나 춘천 주변에 위치한 숙소 추천해 주실 수 있나요?,"공지천, 춘천",2
남이섬이나 춘천에 있는 숙소를 추천해 주실 수 있나요?,"남이섬, 춘천, 강원도",3
남춘천역 주변에 보조견 동반이 가능하고 휠체어 접근로가 있는 숙소가 있나요?,"남춘천역, 보조견 동반 가능, 휠체어 접근로 있음",3
퇴계동에 장애인 주차구역이 있는 숙소가 있나요?,"퇴계동, 장애인 주차구역 있음",2
강촌역 주변에 음성안내기와 장애인 화장실이 갖춰진 숙소가 있을까요?,"강촌역, 음성안내기 있음, 장애인 화장실 있음",3
"장애인 전용 주차구역이 있는 숙소를 찾고 있는데, 어떤 곳이 있나요?",장애인 전용 주차구역 있음,1
출입구까지 턱이 없이 접근 가능한 숙소가 있나요?,출입구까지 턱이 없이 접근 가능,1
춘천에 있는 숙소 중 엘리베이터 앞에 점자블럭이 있고 장애인 주차장이 마련된 곳이 있나요?,"춘천, 점자블럭 있음(엘리베이터 앞), 장애인 주차장 있음",3
남춘천역 근처에 장애인 주차구역이 있는 숙소가 있나요?,"남춘천역, 장애인 주차구역 있음",2
