질의,포함핵심어,포함개수
속초에 엘리베이터로 위층 이동이 가능하고 시설 전체가 휠체어 이용 가능한 숙소가 있나요?,"속초, 엘리베이터로 위층 이동 가능, 시설 전체 휠체어 이용 가능",3
장애인 객실이 있는 숙소를 추천해 주실 수 있나요?,장애인 객실 있음,1
속초시에 엘리베이터가 있는 숙소가 있나요?,"속초시, 엘리베이터 있음",2
속초에 전용 출입구가 있는 숙소가 있나요?,"속초, 전용 출입구",2
조양동에 위치한 숙소에 대해 추천해 주실 수 있나요?,조양동,1
장애인 휠체어길이 있는 숙소가 있나요?,장애인 휠체어길 있음,1
속초시나 대포항 근처에 위치한 숙소를 추천해 주실 수 있나요?,"속초시, 대포항",2
금연 객실을 제공하는 숙소가 있나요?,금연,1
점자블록이 있는 숙소가 있나요?,점자블록 있음,1
"장애인 지원 객실이 있는 숙소를 찾고 있는데, 어떤 곳이 있을까요?",장애인 지원 객실,1
속초에 솜 베개가 제공되는 숙소가 있을까요?,"속초, 솜 베개",2
동해안에 반려견 동반이 가능한 숙소가 있나요? (사전문의가 필요한 경우도 알려주세요.),"동해안, 반려견 동반 가능(사전문의)",2
속초에 장애인 편의시설과 알러지프리 객실을 갖춘 숙소가 있나요?,"속초, 장애인 편의시설, 알러지프리 객실",3
휠체어를 이용할 수 있는 숙소가 있나요?,휠체어 이용 가능,1
속초에 계단 난간이 있는 숙소가 있을까요?,"속초, 계단 난간",2
속초에 알러지프리 객실과 엘리베이터가 있는 숙소가 있나요?,"속초, 알러지프리 객실, 엘리베이터",3
동해안에 출입구까지 경사로가 설치된 숙소가 있나요?,"동해안, 출입구까지 경사로가 설치되어 있음",2
속초에 솜 베개가 제공되고 장애인 지원 객실이 있는 숙소가 있을까요?,"속초, 솜 베개, 장애인 지원 객실",3
대포항 주변에 점자블록이 있는 숙소가 있나요?,"대포항, 점자블록 있음",2
설악 근처에 엘리베이터가 있는 숙소가 있을까요?,"설악, 엘리베이터",2
속초 근처 국제공항과 가까운 곳에 엘리베이터로 이동 가능한 숙소가 있을까요?,"속초, 국제공항, 엘리베이터로 이동 가능",3
속초 근처 국제공항에서 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"속초, 국제공항, 엘리베이터",3
조양동이나 속초시 근처에 숙박할 만한 좋은 장소가 있을까요?,"조양동, 속초시",2
설악산 근처 신흥사 주변에 장애인 객실이 있는 숙소가 있나요?,"설악산, 신흥사, 장애인 객실 있음",3
큰활자홍보물과 안내요원이 마련되어 있고 엘리베이터도 있는 숙소가 있나요?,"큰활자홍보물 있음, 안내요원 있음, 엘리베이터 있음",3
속초에 계단 난간이 잘 설치되어 있고 주 출입구에 계단이 없는 숙소가 있을까요?,"속초, 계단 난간, 계단 없는 주 출입구",3
장애인 전용 주차구역이 있는 숙소가 있나요?,장애인 전용 주차구역 있음,1
속초에 휠체어 접근이 용이하고 엘리베이터가 있는 숙소가 있나요?,"속초, 출입구까지 턱이 없어 휠체어 접근 가능함, 엘리베이터 있음",3
설악동에 고령자에게 적합한 숙소가 있나요?,설악동,1
속초에 엘리베이터와 전용 출입구가 있는 숙소를 찾을 수 있을까요?,"속초, 엘리베이터, 전용 출입구",3
속초에 솜 베개와 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"속초, 솜 베개, 엘리베이터",3
설악 근처에서 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"설악, 엘리베이터 위층 이동 가능",2
설악산 근처에 엘리베이터와 출입구까지 경사로가 설치되어 있는 숙소가 있나요?,"설악산, 엘리베이터 있음, 출입구까지 경사로가 설치되어 있음",3
설악 근처에 계단 없는 주 출입구가 있는 숙소가 있나요?,"설악, 계단 없는 주 출입구",2
엘리베이터가 2대 있는 숙소가 있나요?,엘리베이터 있음.(2대),1
"장애인 화장실과 점자블록이 있는 숙소를 찾고 있는데, 큰활자홍보물도 제공되나요?","장애인 화장실 있음 (건물 2층 카페 앞에), 큰활자홍보물 있음, 점자블록 있음",3
속초에 방음시설과 엘리베이터가 갖춰진 숙소가 있나요?,"속초, 방음시설, 엘리베이터",3
강원도 속초시에서 고령자에게 적합한 숙소를 추천해 주실 수 있나요?,"속초시, 강원도",2
속초시에 장애인 전용 주차구역과 엘리베이터가 있는 숙소가 있나요?,"속초시, 장애인 전용 주차구역 있음, 엘리베이터 있음",3
속초나 낙산해수욕장 근처에 엘리베이터가 있는 숙소가 있나요?,"속초, 낙산해수욕장, 엘리베이터",3
속초나 장사항 근처에 위치한 숙소가 있나요?,"속초, 장사항",2
장사항 근처에 위치한 숙소는 어떤 곳들이 있나요?,장사항,1
"조양동이나 속초시, 강릉에 위치한 숙소를 추천해 주실 수 있나요?","조양동, 속초시, 강릉",3
