숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
더 클래식 펜션,강릉시,"부모님과 함께 가려고 하는데, 주문진 해수욕장까지 걸어서 갈 수 있는 숙소가 있을까요?","어머니가 바다낚시를 좋아하시는데, 주문진항에서 낚시하기 편리한 숙소를 알고 싶어요","강릉카페거리를 둘러보고 싶은데, 차로 30분 안에 갈 수 있는 숙소가 있을까요?","아버지가 경포대 해수욕장을 좋아하셔서, 차로 20분 안에 갈 수 있는 숙소를 찾고 있어요","가족이 모두 오죽헌을 방문하고 싶어하는데, 차로 20분 이내에 도착할 수 있는 숙소가 있을까요?"
벨라,강릉시,"부모님과 함께 문화체험을 하고 싶은데, 근처에 전통시장이 있는 숙소가 있을까요?","강릉시를 쉽게 둘러보고 싶은데, 대중교통이 잘 연결된 곳에 위치한 숙소를 추천해 주세요",저녁에 산책하기 좋은 장소가 필요해요. 근처에 강릉 호수나 공원이 있는 숙소가 있을까요?,"부모님께서 역사에 관심이 많으신데, 강릉의 역사적인 명소들에 접근하기 쉬운 숙소가 있나요?","모빌리티가 제한된 어머니와 함께라서, 강릉 주변 주요 관광지를 차량으로 쉽게 이동할 수 있는 숙소가 필요합니다. 추천해 주세요"
영진스테이2,강릉시,"부모님과 함께 신선한 해산물을 먹고 싶은데, 차로 쉽게 갈 수 있는 수산시장이 근처에 있나요?","바다 전망을 즐기며 커피를 마시고 싶은데, 유명한 카페거리가 숙소 근처에 있나요?",밤에 바다를 보며 산책하기 좋은 길이 있는 숙소를 추천해줄 수 있나요?,"대중교통을 이용해야 하는데, 고속버스터미널이나 KTX 역과 가까운 숙소가 있을까요?",겨울 스포츠를 즐기기 위해 스키장과 접근성이 좋은 숙소가 있을까요?
강릉씨티호텔,강릉시,"경포대와 강문 해변에 가깝고, 관광하기 좋은 위치에 있는 숙소가 있을까요?",안목 해변까지 이동하기 편리한 숙소가 있을까요?,휠체어를 사용하는 어머니와 함께 머물기 좋은 장애인 지원 객실이 있는 숙소가 있나요?,시력이 좋지 않으신 할아버지를 위해 점자 안내판이 잘 갖춰진 숙소가 있나요?,"고령의 부모님과 함께 묵을 예정인데, 모든 시설이 지상층에 위치한 숙소가 있나요?"
웨이블루,강릉시,"해변을 산책하기 좋은 곳을 찾고 있는데, 소돌해변이나 향호해변 근처에 숙소가 있나요?","주문진해양박물관을 방문할 계획인데, 걸어서 갈 수 있는 숙소가 있을까요?","주문진항에서 신선한 해산물을 즐기고 싶은데, 가까운 숙소가 있나요?","강릉을 여행하면서 평창 올림픽 플라자도 방문하고 싶은데, 두 곳 모두 접근성이 좋은 숙소가 있을까요?","대포항에서 바다 구경을 계획 중인데, 근처에 편리한 숙소가 있을까요?"
컨피네스 오션 스위트,강릉시,"강릉 사천진 해변에서 가까운 숙소를 찾고 있는데, 걸어서 갈 수 있는 거리에 있는 곳이 있을까요?",경포대와 가까운 숙소를 찾고 있습니다. 차로 이동하기 편리한 거리의 숙소가 있을까요?,"휠체어를 사용하는 어머니와 함께 머무를 계획인데, 계단 없이 출입이 가능한 숙소가 있을까요?",시각장애가 있는 아버지를 모시고 여행하려고 합니다. 점자 안내판이 잘 갖춰진 숙소가 있을까요?,"고령의 부모님과 함께 머무르려는데, 장애인 지원 객실이 있는 숙소가 있을까요?"
SL호텔 강릉,강릉시,주문진 방파제에 가까운 숙소 중에서 장애인 주차 시설이 잘 갖춰져 있는 곳이 있을까요?,"동해가 보이는 숙소를 찾고 있는데, 엘리베이터로 모든 층에 접근 가능한 곳이 있을까요?","부모님과 함께 오죽헌을 방문할 예정인데, 그 근처에 고령자도 편하게 머무를 수 있는 숙소가 있을까요?","가족들과 인피니티 풀을 즐기고 싶은데, 휠체어가 접근 가능한 숙소가 있을까요?",강릉솔향수목원 근처에 위치한 숙소 중에서 금연 정책이 잘 되어 있는 곳이 있을까요?
경포수 호텔,강릉시,"휠체어를 사용하는 어머니와 함께 여행을 계획 중인데, 시설 전체가 휠체어로 이동 가능한 숙소가 있을까요?","아버지가 계단 오르내리기가 힘드신데, 엘리베이터가 잘 갖춰진 숙소를 추천받을 수 있을까요?",경포해변을 도보로 쉽게 접근할 수 있는 숙소가 있을까요? 바닷가 근처에서 여유를 즐기고 싶습니다,"강릉에 가면 꼭 오죽헌을 방문하고 싶은데, 그 근처에 위치한 숙소를 추천해 주실 수 있나요?","부모님과 함께 여행 중인데, 금연 객실을 이용할 수 있는 숙소가 있을까요?"
브라운도트호텔 경포,강릉시,경포 해변까지 걸어서 갈 수 있는 숙소가 있나요? 부모님과 함께 산책하기에 좋은 곳이면 좋겠어요,"대관령 양떼목장을 방문할 계획인데, 그곳까지 가는 길이 편리한 숙소가 있을까요?","주문진항에서 신선한 해산물을 즐기고 싶은데, 그 근처에 머물기 좋은 숙소가 있나요?",강릉시외버스터미널과 가까워서 대중교통 이용이 편리한 숙소를 찾고 있어요. 추천해줄 수 있나요?,경포호수 광장에서 조용히 여유를 즐길 수 있는 숙소가 근처에 있을까요?
페리아902 오션뷰 키즈 가족 펜션,강릉시,경포대 근처에 있어서 산책하기 좋은 숙소가 있을까요?,"사천항을 둘러보고 싶은데, 가까운 거리에 있는 숙소를 추천해줄 수 있나요?",정동진 해변까지 쉽게 접근할 수 있는 숙소가 있을까요?,"안목 해변을 자주 방문할 계획인데, 접근성이 좋은 숙소가 어디일까요?",해변 근처라서 바다를 쉽게 감상할 수 있는 숙소가 있을까요?
남문로프트,강릉시,남대천 주변을 산책할 수 있는 숙소가 있을까요?,강릉의 옛 시가지인 남문동 근처에 머물기 좋은 곳이 있을까요?,강릉의 인기 카페와 맛집들이 가까운 숙소를 추천받을 수 있을까요?,조용하고 평화로운 지역에 위치한 숙소를 찾고 있어요. 남문동 근처에 그런 곳이 있을까요?,강릉에서 간단한 식사 준비가 가능한 숙소가 어디에 있을까요?
사천 스테이 195 호텔,강릉시,경포해수욕장 근처에 숙소가 있어서 아침 산책하기에 좋은 장소가 있을까요?,사천 해수욕장과 가까운 숙소가 있으면 안내 부탁드려요. 노약자도 쉽게 접근할 수 있는 곳이면 좋겠어요,강릉 지역의 유명한 명소들을 쉽게 방문할 수 있는 숙소가 있나요? 대중교통 접근성이 좋은 곳이면 좋겠습니다,"강릉의 해변을 즐기고 싶은데, 해수욕장과 가까운 숙소가 있을까요? 해변까지 걸어갈 수 있을 정도로 가까운 곳이면 좋겠어요",강릉의 주차 시설이 잘 갖춰진 숙소가 있을까요? 이동이 편리한 곳을 찾고 있습니다
강릉 스테이큐 나인,강릉시,"부모님과 함께 해변을 산책하고 싶은데, 소돌해변이 가까운 숙소가 있나요?","대중교통을 주로 이용할 예정인데, 주문진항과 가까운 위치에 있는 숙소를 알고 싶어요",문화 체험을 즐기고 싶어 하시는 부모님을 위해 주문진해양박물관 근처에 숙소를 추천받고 싶어요,"부모님이 서점이나 도서관을 좋아하시는데, Sungju Library와 가까운 숙소가 있을까요?","부모님이 스파를 좋아하셔서, 스파 시설이 잘 되어 있는 숙소를 알고 싶어요"
강릉 호텔주노,강릉시,"경포 해변을 자주 방문하고 싶은데, 그 근처에 있는 숙소가 있을까요?",강문 해변까지 걸어가기 좋은 위치에 있는 숙소가 있을까요?,"휠체어를 사용하는 가족이 있는데, 엘리베이터가 있는 숙소가 있나요?","흡연이 금지된 공용 공간이 있는 숙소를 찾고 있는데, 그런 숙소가 있을까요?",부모님이 장애가 있으셔서 장애인 편의시설이 잘 갖춰진 숙소가 필요합니다. 추천해주실 수 있나요?
파인아트라벨 호텔,강릉시,강릉항 여객터미널에서 도보로 이동하기 편리한 숙소가 있을까요?,강릉의 주요 관광지를 쉽게 방문할 수 있는 위치에 있는 숙소가 있을까요?,"계단 이용이 힘든데, 엘리베이터가 있는 숙소가 있을까요?",고령의 부모님과 함께하는 여행이라 침구가 편안한 숙소가 필요합니다. 솜 베개가 제공되는 곳이 있을까요?,장애인을 위한 특별한 편의시설이 잘 갖춰진 숙소가 있나요?
썬리치펜션,강릉시,주문진오징어축제에 쉽게 참여할 수 있도록 축제 현장까지 도보로 이동 가능한 숙소가 있나요?,"부모님과 함께 다양한 현지 음식을 즐기고 싶은데, 근처에 레스토랑이 많은 곳에 위치한 숙소를 추천해줄 수 있나요?","강릉 지역을 편리하게 둘러보고 싶은데, 바리스타 크루즈와 가까운 숙소가 있을까요?",강릉 근처에서 도보로 이동하기 편리한 숙소가 필요합니다. 가까운 관광 명소가 있는지 알려줄 수 있나요?,지역 축제와 다양한 먹거리를 즐기면서 편하게 머물 수 있는 숙소가 근처에 있을까요?
호텔큐브,강릉시,허균·허난설헌기념공원 근처에 위치한 숙소 중에서 바다 전망을 즐길 수 있는 곳이 있을까요?,"초당순두부마을에 가까운 숙소를 찾고 있는데, 장애인 편의시설도 잘 갖추어져 있는 곳이 있을까요?","부모님이 휠체어를 사용하시는데, 장애인 지원 객실이 있는 숙소가 있을까요?",강릉역에서 접근이 쉬운 숙소 중에 장애인 편의시설이 잘 되어 있는 곳이 있을까요?,바다를 볼 수 있는 객실이 있는 숙소 중에 장애인 지원 객실도 있는 곳을 추천받고 싶어요
스테이 수안,강릉시,소돌해변과 가까운 거리에 숙소가 있어서 해변 산책하기 좋은 곳이 있을까요?,"숙소에서 주문진항까지 도보로 이동 가능한데, 그 사이에 들를 만한 카페나 식당이 있을까요?",향호해변까지 걸어가면서 경치를 즐길 수 있는 숙소가 있나요?,대포항과의 접근성이 좋은 숙소에서 신선한 해산물을 맛볼 수 있는 식당이 근처에 있을까요?,평창 올림픽 플라자와 가까운 숙소에서 다양한 스포츠 행사를 구경할 수 있을까요?
강릉 그레이 호텔,강릉시,"부모님이 해변 산책을 좋아하시는데, 안목 해변에서 가까운 숙소가 있을까요?","경포대와 강문 해변을 자주 둘러보고 싶은데, 이들 관광지와 접근이 좋은 숙소가 있나요?","휠체어를 사용하는 가족이 함께 묵을 예정인데, 엘리베이터가 잘 갖춰진 숙소가 있을까요?","어머니가 다리가 불편하신데, 숙소가 지상층에 위치해 있어 이동이 편리한 곳이 있나요?",장애인 편의시설이 잘 되어 있어 어르신도 편하게 머무를 수 있는 숙소가 있을까요?
음악시간펜션,강릉시,바다 산책을 좋아하시는 부모님을 위해 해변로가 잘 조성된 숙소가 있나요?,여행 중에 응급 상황에 대비해 병원이나 약국이 가까운 숙소가 있을까요?,"저녁에 바다를 보며 식사하고 싶은데, 해변 근처에 레스토랑이 있는 숙소가 있나요?","대중교통을 이용할 예정인데, 강릉 시내로 가기 편리한 위치에 있는 숙소를 추천해 줄 수 있나요?",가족들이 함께 즐길 수 있는 지역 축제나 문화 행사가 근처에서 열리는 숙소가 있을까요?
강릉 휴 펜션,강릉시,"부모님이 주문진항을 구경하고 싶어 하시는데, 가까운 숙소가 있나요?",경포해변을 산책하기 좋은 시간에 갈 수 있는 숙소가 있을까요?,"오죽헌을 방문할 계획인데, 이동이 편리한 숙소가 어디에 있을까요?","차가 없어서 대중교통을 이용해야 하는데, 강릉시외버스터미널에서 접근하기 쉬운 숙소가 있나요?","바비큐를 즐기기 좋은 숙소를 찾고 있는데, 주변에서 바다를 볼 수 있는 곳이 있을까요?"
강릉 경포대 빅토리아,강릉시,조용히 산책하기 좋은 공원이 근처에 있는 숙소가 있을까요?,관광지를 쉽게 방문할 수 있도록 대중교통 접근성이 좋은 숙소를 찾고 있어요,"부모님이 문화체험을 좋아하시는데, 근처에 박물관이나 전시관이 있는 숙소가 있나요?","저희가 휴식을 중요시하는데, 주변에 시끄러운 유흥가가 없는 숙소가 궁금해요","부모님이 쇼핑을 좋아하셔서, 근처에 쇼핑몰이나 번화가가 있는 숙소를 추천해주실 수 있나요?"
강릉 오션그레이트펜션,강릉시,정동진 해수욕장에서 가까운 숙소가 있을까요? 부모님과 함께 해변 산책을 즐기고 싶습니다,"하슬라아트월드를 방문할 예정인데, 이동하기 편리한 숙소가 주변에 있나요?",강릉역에서 숙소까지 차량으로 이동하기 편리한 거리에 있는 곳을 찾고 있어요. 추천해주실 수 있나요?,강릉아트센터에서 공연을 보고 싶습니다. 공연 관람 후 숙소로 쉽게 돌아갈 수 있는 곳이 있을까요?,평창 올림픽 플라자 근처에 머물면서 강릉 관광도 하고 싶습니다. 두 곳 모두 접근성이 좋은 숙소가 있을까요?
파라다이스모텔,강릉시,강문해변을 도보로 갈 수 있는 숙소가 있나요? 부모님과 산책하기 좋은 곳을 찾고 있습니다,"오죽헌을 방문할 계획인데, 차로 가까운 거리의 숙소가 있을까요?","휠체어를 사용하는 어머니와 함께 갈 예정인데, 엘리베이터가 있는 숙소가 필요합니다",부모님이 흡연을 싫어하셔서 금연 시설이 있는 숙소를 찾고 있어요. 가능할까요?,"고령인 부모님과 함께할 예정인데, 숙소 내에 편리한 부대시설이 잘 갖춰져 있는 곳이 있을까요?"
스테이올라,강릉시,"차량을 가지고 갈 예정인데, 숙소 근처에 쉽게 접근할 수 있는 주차 공간이 충분히 마련되어 있는 곳이 있을까요?","부모님이 도심 관광을 좋아하시는데, 주요 관광지와 가까운 숙소가 어디인지 알려주세요","장을 봐서 직접 음식을 해드리고 싶은데, 숙소 근처에 대형 마트나 식료품점이 있는 곳이 있나요?","부모님이 신문을 좋아하시는데, 숙소 주변에 신문을 쉽게 구할 수 있는 편의점이나 서점이 있나요?","인터넷 사용이 중요한데, 숙소 주변에 커피숍이나 카페 같은 와이파이가 제공되는 장소가 많나요?"
강릉 루소 호텔,강릉시,"경포해변을 자주 방문하고 싶어 하는 부모님을 위해, 그 근처에 위치한 숙소가 있을까요?","주문진 수산시장에서 신선한 해산물을 즐기고 싶은데, 그 주변에 가까운 숙소가 있을까요?","휠체어를 사용하시는 어머니와 함께 지낼 수 있는, 엘리베이터가 있는 숙소가 있을까요?","아버지가 다리가 불편하신데, 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?",부모님이 편하게 머무실 수 있는 에어컨이 완비된 숙소가 있을까요?
강릉 돌고래스파펜션,강릉시,"걸어서 이동할 수 있는 해변이 근처에 여러 곳 있다고 들었는데, 경사가 완만하고 접근성이 좋은 곳이 있나요?","에디슨과학박물관을 방문할 계획인데, 쉽게 이동할 수 있는 교통수단이 있는 숙소가 있을까요?","경포대를 둘러보고 싶은데, 이동이 편리한 숙소를 추천해 주실 수 있나요?",주변에 스파 & 웰니스 센터가 잘 갖춰진 숙소가 있다면 추천 부탁드립니다,허균·허난설헌 기념관과 같은 문화 유적지에 가까운 숙소가 있을까요?
강릉 그란데마레 풀빌라펜션,강릉시,"부모님이 병원 방문을 자주 하셔야 하는데, 근처에 큰 병원이 있는 숙소가 있을까요?","대중교통을 이용하기 편리하게, 지하철역이나 버스 정류장과 가까운 숙소를 추천해주세요","어머니가 전통 시장을 좋아하셔서, 시장과 가까운 숙소가 있을까요?",고령자분들이 다니기 편한 평지가 많은 지역에 위치한 숙소가 있나요?,"공항과 가까운 숙소를 찾고 있는데, 추천해줄 만한 곳이 있나요?"
강릉 올림피아 호텔,강릉시,"경포대 근처에 숙소가 있는데, 경포호 산책로까지 걸어서 갈 수 있는지 궁금해요","전통시장을 둘러보고 싶은데, 중앙성남전통시장에 가까운 숙소가 있을까요?",정동진 해변에서 일출을 보고 싶어요. 해변과 가까운 숙소를 찾고 있어요,"주문진 해변에서 해산물을 즐기고 싶은데, 근처에 숙소가 있는지 알고 싶어요","강릉 시내 관광을 계획 중인데, 시내와 편리하게 연결된 숙소가 어디인지 추천해 주세요"
하슬라뮤지엄호텔,강릉시,정동진 해돋이공원 근처에 있는 숙소 중에서 엘리베이터가 있는 곳이 있을까요?,"하슬라아트월드까지 도보로 이동하기 편리한 숙소를 찾고 있는데, 추천해 주실 수 있나요?","휠체어를 사용하는 어머니와 함께할 예정이라, 장애인 편의시설이 잘 갖춰진 숙소를 알고 싶어요",냉장고와 미니바가 제공되어 편리하게 이용할 수 있는 숙소가 있을까요?,"금연 객실이 있는 숙소를 찾고 있는데, 추천해 주실 수 있나요?"
세인트 존스 호텔,강릉시,강릉 여행 중에 초당순두부마을과 경포해변을 쉽게 방문할 수 있는 숙소가 있을까요?,도보로 이동하기 편한 강문해변 근처에 위치한 숙소를 추천받을 수 있을까요?,"휠체어를 사용하는 어머니와 함께 묵을 계획인데, 엘리베이터가 잘 갖춰진 숙소가 있을까요?",반려동물과 함께 묵을 수 있는 숙소가 있나요? 추가 요금은 어떻게 되나요?,"고령의 부모님과 함께 여행할 예정인데, 장애인 편의시설이 잘 마련된 숙소가 있을까요?"
봉모텔,강릉시,"부모님과 함께 경포대 근처를 여행할 계획인데, 주변에 편의시설이 잘 갖춰진 숙소가 있을까요?","중앙성남전통시장에서 가까운 숙소를 찾고 있는데, 편리하게 이동할 수 있는 곳이 있을까요?","저희 어머니가 거동이 불편하신데, 장애인을 위한 편의시설이 잘 마련된 숙소가 있나요?","시각장애가 있는 아버지를 모시고 여행을 계획 중인데, 안전하게 이용할 수 있는 숙소가 있을까요?",휠체어를 사용하는 가족이 있어 숙소 이용 시 불편함이 없도록 편의시설이 잘 구축된 곳이 있을까요?
루이스호텔,강릉시,"KTX 강릉역에서 가까운 숙소를 찾고 있는데, 도보로 이동하기에 편리한 곳이 있을까요?",중앙시장 접근이 용이한 숙소를 찾고 있습니다. 차로 10분 이내에 도착할 수 있는 숙소가 있을까요?,휠체어를 사용하는 어머니와 여행할 예정입니다. 숙소 내에서 휠체어 이동이 불편하지 않을 시설이 있을까요?,알레르기 걱정 없이 편안하게 머물 수 있는 항알러지 침구가 제공되는 숙소가 있을까요?,몸이 불편하신 아버지를 위해 장애인 욕실과 화장실이 잘 갖춰진 숙소가 있을까요?
오월의정원,강릉시,강릉에 있는 숙소 중에서 주변에 경포대 해변이 가까운 곳이 있나요? 부모님과 함께 산책하기 좋을 것 같아요,양양 국제공항에서 접근하기 편리한 숙소가 있을까요? 공항 이동이 수월한 곳을 찾고 있습니다,강릉종합운동장 근처에서 편히 머물 수 있는 숙소가 있을까요? 운동장을 자주 방문할 계획입니다,강릉 시내로 나들이하기 편리한 교통편이 잘 마련된 숙소가 있을까요? 대중교통 이용이 쉬운 곳이면 좋겠어요,"부모님께서 문화 유적지 방문을 원하시는데, 오죽헌이나 선교장 같은 관광지와 가까운 숙소가 있을까요?"
카리브모텔,강릉시,정동진 해돋이공원까지 쉽게 갈 수 있는 숙소가 있을까요?,정동진역에서 걸어서 갈 수 있는 숙소가 있나요?,"정동진조각공원을 방문하고 싶은데, 근처에 머물기 좋은 숙소가 있을까요?",등명락가사에 가깝고 접근성이 좋은 숙소를 찾고 있어요,정동진 레일바이크를 타러 가기 편리한 숙소가 있을까요?
강릉 퀴스테 스파펜션,강릉시,"부모님과 함께 경포대 근처에서 숙소를 찾고 있는데, 장애인 편의시설이 잘 갖춰져 있는 곳이 있을까요?",강문 해변을 도보로 쉽게 갈 수 있는 위치에 있는 숙소가 있을까요?,"가족과 함께 묵을 예정인데, 가족용 객실이 마련된 숙소가 어디 있을까요?",해변에서 가까운 곳에 위치한 숙소 중에서 장애인을 위한 시설이 잘 갖춰진 곳이 있나요?,안목 해변 근처에 위치한 숙소 중에서 주차가 편리하게 가능한 곳이 있을까요?
델피노,고성군,"교통편이 중요한데, 속초시외버스터미널에서 차로 30분 이내에 있는 숙소가 있을까요?",주변 관광지를 쉽게 방문할 수 있는 숙소를 찾고 있습니다. 아야진 해수욕장이나 송지호해수욕장 근처에 있는 숙소가 있을까요?,"저희 어머니께서 거동이 불편하신데, 엘리베이터가 있는 숙소가 있을까요?","가족 중에 흡연자가 있는데, 지정 흡연 구역이 있는 숙소를 추천해 주실 수 있을까요?","장애인 편의시설이 잘 갖춰진 숙소에서 머물고 싶은데, 그런 숙소가 있을까요?"
파랑뷰 호텔,고성군,"부모님께서 휠체어를 사용하시는데, 계단이 없는 주 출입구가 있는 숙소가 있을까요?","시각장애가 있으신 할아버지를 모시고 갈 계획인데, 점자 안내판이 잘 되어 있는 숙소가 있을까요?","어르신과 함께 수영을 즐기고 싶은데, 수영장에 램프가 설치된 숙소가 있을까요?","숙소에서 간편하게 식사를 해결하고 싶은데, 룸서비스를 제공하는 곳이 있을까요?","여행 중에 차량을 이용할 계획인데, 주차장이 잘 갖춰진 숙소가 있을까요?"
일성설악콘도,고성군,속초 시외버스터미널에서 차로 30분 이내에 있는 숙소가 있을까요? 부모님이 이동하시기 편리했으면 해서요,"낙산사와 가까운 숙소를 찾고 있는데, 주요 관광지로 이동하기 쉬운 곳이 있을까요?","휠체어를 사용하시는 어머니와 함께 여행하려고 하는데, 엘리베이터가 있는 숙소를 추천받을 수 있을까요?","아버지가 다리가 불편하셔서, 엘리베이터로 위층 이동이 가능한 숙소가 필요합니다. 그런 숙소가 있을까요?","부모님과 함께 편안한 투숙이 가능한 숙소를 찾고 있는데, 필요한 기본 가구와 편의시설이 잘 갖춰진 곳이 있나요?"
㈜포유리조트,고성군,"아바이마을과 속초중앙시장을 방문하고 싶은데, 이 두 곳과 가까운 숙소가 있을까요?","낙산사를 관광할 예정인데, 낙산사와 접근성이 좋은 숙소가 있나요?","속초해수욕장에서 여유롭게 시간을 보내고 싶은데, 해수욕장 근처에 위치한 숙소를 추천해줄 수 있나요?","양양 국제공항에서 이동이 편리한 숙소가 필요해요, 공항과 가까운 곳을 추천해줄 수 있나요?",속초고속버스터미널에서 숙소까지 편리하게 이동할 수 있는 곳이 있을까요?
소노펠리체 델피노,고성군,속초항 근처에 위치한 숙소 중에 고령자에게 편리한 시설을 갖춘 곳이 있을까요?,설악산 국립공원과 가까운 숙소 중에서 장애인을 위한 편의시설이 잘 마련된 곳이 있나요?,"엘리베이터가 설치된 금연 객실이 있는 숙소를 찾고 있는데, 추천해주실 수 있나요?","휠체어를 사용하는 부모님과 여행할 예정인데, 접근성이 좋은 숙소가 있을까요?","고령의 부모님과 함께 머물기 좋은, 다양한 레저 시설을 갖춘 숙소가 있나요?"
